Case NumberClient FeedbackResolution CommentsAnalysis CommentsCATEGORIES_8_57
04/24/2017-3460265client called regarding a roll over on the cd's and papework that was supposed to be sent to her.  she received the paperwork and sent it to suntrust and we got it friday but the branch is telling her there is an issue with a check she sent in to open the new acct. at 2%    ugrw53 client wented area mgr # richard johnson and april steven #\N\N57
04/24/2017-3460304Teammate Interaction Challenges;Branch/Department Interaction Challenges || client stated she went into the branch and spoke with a teammate and they told her that if she deposited $10,000 into her MMA that she would see in increase in her interest rate from 0.05 to 1% client did as she was told and her interest rate never went up, client contacted the branch in which she was dealing with several times and they kept giving her push back and told her they would call her back with more information on several occasions but client never received a phone call. So she finally called the branch again and they told her that there was nothing they could do to help her.Provided Status and/or Next Steps || advised client I can get in touch with the branch to see if I can help communicate between both her and the branch to get down to the bottom of what happened. but client was also concerned about getting her access 3 figured out and her interest on that so I warm transferred her to loan servicing and she stated she would call the branch back, I advised the client that I would notate her feed back.\N57
04/24/2017-3460355Client is calling about his deceased wife's name still being listed on the checking acct. Client stated he requested the name be removed from all accts and presented the death certificate.\N\N57
04/24/2017-3460466Other || client order checks today using our IVR with confirmation number but the system did not provide the amount of the checks.Engaged Manager or Other Support Group || I asked assistance to Deluxe if there is any check order place today but we are seeing same information on the website. we place the order with the same details and I provide the price then disclosure.\N57
04/24/2017-3460474Challenging Resolution Process || Client called requesting to have credit reporting on loan status updated to closed.\N\N8
04/24/2017-3460519Challenging Resolution Process;Other || client was directed to lightstream to apply for new car loan, she said she was MISLEAD that the system was very easy which according to client it was not she was told of a decision by next morning but didn't hear from lightstream til noon the next day which caused delays in her getting the car which she got through dealership loan, she sent all the proper doc's to lightstream and then was told they needed more she is very frustrated and has used words like MISLEAD and LIE TOO... she has threatened to close her rel. with suntrustUnresolved - Complaint Escalation Needed || please call client to review process and her side of story extremely upset 919 616 8978 Mary Hilbert  **************************  Client contacted and lightstream processed discussed , questions answered. Matter closed4/24 sent email to lightstream  4/25 Light stream advised they have reached out to the client and discussed process. Nothing further from CCAMO57
04/24/2017-3460657Client opened account online last night and transferred $90k from this account to new account ending in 5301 - his concern is the money is showing as w/d but not showing available in new accountI spoke with fulfillment and confirmed that transfer took place and that turnaround time is 24 hours after the money is w/d from the transferring account - I will follow up with account 4/22/17 and if money is not in the account cb 863-458-0532    utst35  4/24/17  12:11ct  Money is showing in new account.  No action needed.  ***Prior comments from originating case***:  **********************************************************  No folder in R drive4/27/17 No ack required, resolved @ POC.57
04/24/2017-3460665Other || client applied for new suntrust mastercard and was approved, however the client did not get the credit limit he wanted client request account closed because suntrust would not give him a increase credit limitPerformed Other Servicing / Maintenance || Closed the credit card per client's request\N57
04/24/2017-3460796Client called because we declined credit bureau dispute. Client stated the branch told him he was all set when he turned in the surepay form but it never drafted. Client stated he travels and he would not have known the payment was behind. Client said branch told him he submitted dispute stating it was a bank error. Client said he is going into the branch today to get the issue resolved. He said he will have branch VP call back in while he is there.\N\N57
04/24/2017-3460830CC Onboarding: Dissatisfaction with Credit Card & Dissatisfaction with problem handling & NULL\NCIN:	00758482111 Control Account end 8463  CIN:       00361878051    because of experience with underwriting can there be a reduced BT Fee (3% =  $133.43)57
04/24/2017-3460849Teammate Interaction Challenges;Other || Client said that someone at her  branch had talked her in to checking her account type, client said that after a few weeks she decided that she did not want her acct type changed so, she went in to the branch and they told her that they would changed everything back.Communicated Decisions / Option(s) || Apologized for the inconvenience and told client that I was unable to change account type back, since the account that she had was a grandfathered acct.    Client said that she would send her husband back in to the branch.  Client did not provide which branch or teammate that the change was made with.\N57
04/24/2017-3460894Documentation Challenges;Challenging Resolution Process;Default / Negative Impacts;Other || Client very upset that account was not set up properly to begin with. Miscommunication as client could not convey their needs and teammate that set up account initially was in training. When trying to resolve issue, additional teammates pulled in.Unresolved - Complaint Escalation Needed;Performed Other Servicing / Maintenance;Engaged Manager or Other Support Group;Clarified Policy, Process, Product, Service || Client has been in the branch three times now. Client wishes to remove signer, then add her as POA/POD. Challenges with client getting proper POA documentation. Client was EXTREMELY rude, frustrated, inappropriate, making a scene, and causing other SunTrust patrons to feel uncomfortable. Reiterated policy and procedure for process and phoned into the help desk.^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^  4/26/17 ugrs120 Feedback only case.4/24/17 ugrs120 Please refer back to submitter. She should utilize BM and or AM for asistance with resolving account setup issues if the issues were attributed to setup from the branch level. ALSO for CE purposes is the client saying we discriminated against them? If so how so?  4/25- No ackn per res comments. Appears to be branch feedback regarding client. Leaving open for caseowner to obtain discrimination statement- jgm  4/26/17 ugrs120 Sent email asking for info regarding the CIT chosen indicating dicscrimination. waiting.In an email response from the branch dated 4/26/17 I have been advised: My apologies,    I did not mean to click the discrimination option. Discrimination was not an issue. From what I gathered, Faye had come in some time ago to set up what she thought was a POD account. Mariah Duggins was the teammate who opened the account incorrectly. The account was opened as a joint account with survivorship instead of an individual account with a POD as requested. Mariah was technically still in training at the time. The client had been back in the branch before to try to remedy the situation and get the account fixed due to bank error. When she came in on Monday, she requested our personal banker (who was on lunch), so I offered to assist. The woman was disrespectful, inappropriate and using expletives right off the bat. She wanted the account switched to an individual account with POD, but also wanted to add POA. There were issues with the POA documents she brought in (not registered with the court), so I phoned the Help Desk for assistance. I instructed her on what she needed before we could proceed and I tried to assist as best I could, but when she started swearing at me, I had to step away to maintain my composure. She and the friend who was with her got up and walked out. She came back in at least twice later on. She was slamming her umbrella down in the lobby and creating an unpleasant scene for all of our team and our clients. Courtney Warfel, the personal banker, tried to assist her further, but she was hateful to her as well. As far as I know, there was no discrimination, so please excuse my clicking that category. Hope this helps!    PS: Jonathan Kreeger is no longer with SunTrust. Our new branch manager is Kyla Murphy. Thank you!57
04/24/2017-3461244CLIENT ESCALATED BECAUSE SHE'S REQUESTED TO EXTEND HER 0% APR PROMO, AND ADVISED SHE IS UPSET AND UNHAPPY AND SHE WILL MOVED HER MONEY OUT OF SUNTRUST.\N\N57
04/24/2017-3461374Documentation Challenges || BOTH PERSONAL ACCOUNT AS WELL AS BUSINESS ACCOUNT SET UP IN ERROR. MISSPELLED NAMES ON BOTH CARDS.  CAUSING A DELAY IN BUSINESS.Clarified Policy, Process, Product, Service || CORRECTED AS WELL AS EXPEDITED BOTH CARDS AS ERROR CORRECTION NEW ACCOUNT OPENING FAILURE\N8
04/24/2017-3461378Client advised she did not go into foreclosure and that this was a loan that is a short sale. She stated that the credit bureaus advised her it is a SunTrust Mortgage error. She said she received our documentation showing the loan is a short sale.\N\N57
04/24/2017-3461382Default / Negative Impacts || CLient was still receiving fraud alerts or emails regarding the card that has already been closed and she did not want to re ceive anymore and she was furioused because the call she got one time asked for her full social security number and she felt it was inappropriate. She wants a copy of this escalation as proof . Please send it to kara.pilcher1@gmail.comCommunicated Decisions / Option(s) || Advised the client that cards and accounts are closed and removed the email address on file.\N57
04/24/2017-3461399Client calling about cash advance fees; client made a transfer from his credit card 3668 through OLB to his ST checking in error. Client was not aware of this account which was opened without his knowledge or permission. Upon further review, this account 3668 is his old card, which client has been using the 9489 card which is still under promotion apr. Based on client information, it seems client received 9489 and thought it was a replacement card for his existing credit account 3668. Closed 3668 with client permission, advised him to make a payment for the $2000 from checking to credit card to reverse the cash advance taken in error. Requesting research as accounts opened without client's permission and to determine if cash advance and finance charges can be refunded due to this situation.\Nutto0 04/26/17@ 11:33am reached out to teammate at the branch Erma Hall to see if she had any information regarding.  waiting on response.     utto0 04/27/17@10:50am Erma responded that she told him that the promotion was not with old card but only with new card and then placed in new application with his signature. She attempted to contact the client no answer left voicemail. I sent email back to TM asking her to let me know when she gets this resolved so we can close out the case for compliance.    utto0 04/27/17@ 1:57pm : received response from TM Erma - She has called so far 2 times and left voicemails for client no response. I attempted to call (423) 326-8627 left voice mail as well.    utto0 05/01/17@11:03am (423) 326-8627 called spoke with client he states that he looked online and everything seems to have been taken care of and appreicates everyones efforts in fixing this for him. I thanked him and let him know we wanted to follow up with him to make sure all was ok. He stated it was great.8
04/24/2017-3461538UVTW140 - CLIENT WANTED TO KNOW WHY THE CREDIT REPORT SHOWED AS A FORECLOSURE.  ADVISED I NEEDED TO KNOW WHAT CREDIT BUREAU IS SHOWING A FORECLOSURE AND THE DATE IT WAS REPORTED AS SUCH.  CLIENT WILL FIND OUT AND CALL BACK.\N\N57
04/24/2017-3461601UVTB151 - CLIENT WILL BE CALLING TOMORROW WITH HIS LOAN OFFICE ON THE LINE TO DISCUSS THE CREDIT REPORT. CLIENT ADVISED PER THE DOCUMENT SENT THE PAYOFF WAS DISBURSED ON 05.31.2016.  ADVISED THE CLIENT THE DOCUMENT WAS PRINTED 5 DAYS BEFORE THE DISBURSEMENT DATE (05.26.2016).  THAT DOES NOT PROVE THE WIRE WENT THROUGH ON THE 31ST.  I NEED A WIRE CONFIRMATION.  ADVISED WE CAN PRINT THE HISTORY IF NEEDED TO SHOW WHEN WE RECEIVED THE PAYOFF.\N\N57
04/25/2017-3462104Teammate Interaction Challenges;Default / Negative Impacts || client requested to close the account on the 3rd of April 2017, but still opened making the account charged for a transaction that supposed not to charge the client anymore.Performed Other Servicing / Maintenance || Assisted the client and provided options; the client just want to close the account right away and processed client's request\N57
04/25/2017-3462291Other || Client never requested or accepted credit cardOther || Card was sent out during mortgage refinance, but client never requested it\N8
04/25/2017-3462296Branch/Department Interaction Challenges || Client wanted to update address. Account with no signature card on file. Client stated that update signature card at the branch about two months ago.Other || Apologized and refer the branch for further assistance.\N57
04/25/2017-3462358Default / Negative Impacts || client called about heloc he has. stating account wasn't setup right and was made to believe he had to have a checking account to have the line with bank. client said he received fees on checking account he didn't want because of this. client concerned and confused.Clarified Policy, Process, Product, Service;Communicated Decisions / Option(s);Provided Status and/or Next Steps ||\N57
04/25/2017-3462374"Tue, April 25 at 12:10am  It is absolutely mind numbing how useless Suntrust is...."Client is upset he received a new card and doesn't have the PIN. Empathized & explained PIN is mailed separately for security and may be customized at the branch. Client believed old card was cancelled upon activation. Explained this shouldn't be the case if new card has a different PIN.  Asked client to DM for assistance but he said he had already called and spoken to someone. He mentioned he did not request a card. Apologized for confusion. This was requested through NAC, no bank error. New card was already closed by phone teammate.\N8
04/25/2017-3462466Lack of Follow Up or Status Updates || Client expected that when she open the account, she ordered and will receive the order already but the order is not reflecting.Performed Other Servicing / Maintenance || Process the order for the client, apologize and inform that i'll be filing a feedback.\N57
04/25/2017-3462699Fees, F/C, or other Monetary Impacts (Bank Error);Teammate Interaction Challenges || client was told the accounts were linked together and that she should not be getting the monthly maintenance fees for her checking account.Clarified Policy, Process, Product, Service;Provided Status and/or Next Steps || submitted the form to get the account linked to the checking, informed the client what also we could do to waive the fee, fee refunded the monthly maintenance fee as bank error.\N57
04/25/2017-3462706UFMB260 ESCALATED BRANCH TEAMMATE UNDH50 STATED HE AND THE CLIENT WAS ON A CALL WITH TAX DEPARTMENT AND CLIENT SERVICES FOR OVER 4 HOURS ON 04/20/17 BRANCH TEAMMATE STATED PREVIOUS TEAMMATE ADVISED CLIENT MONTHLY PAYMENT WOULD BE ADJUSTED DUE TO CLIENT DEPOSITED JANUARY SURPLUS $1282.39 BACK TO ESCROW ON 02/02/17 AND PAYMENT HAS NOT ADJUSTED\N\N57
04/25/2017-3462937Branch/Department Interaction Challenges || client stepped into branch to upgrade accounts to select checking and no upgrade was done nor card ordered.Communicated Decisions / Option(s) ||\N57
04/25/2017-3463060Documentation Challenges;Challenging Resolution Process || client upset stating that she was not told about the rate changing on line of creditClarified Policy, Process, Product, Service || advised of the terms of contract. and how promo's work.\N57
04/25/2017-3463082client escalated regarding not receiving her check order.\N\N57
04/25/2017-3463113Teammate Interaction Challenges || customer said when he closed on this account the loan officer told him his payment toward principal would be more.    Clarified Policy, Process, Product, Service || explained to customer how mush of his payment is going towards interest and principal.  Also explained to him the closing documents would will show.\Nce completed57
04/25/2017-34632073310 Masonwood Drive  Nashville, TN 37207  April 19, 2015  Sherry Fuller  Client Advocacy Management Office SunTrust Bank  P.O. Box 85024  Richmond, VA 23285-5024 Dear Ms. Fuller:  With regard to your continued claim of a credit card application, which iiis non-existent, Icall   your attention to the first paragraph of my communication dated December 30,2016,which iiinitially   set the record straight regardingthat matter. Please discontinue sending me these communications   addressingthat iiissue, which clearly are attempts to cover up the fact that SunTrust used   inaccurate information from Equifax, to make credit decisions about me.                -- ----- --------                , -- -- --      -  - -- - - - ---- -       ,                         -   ---------    --- - -- --  - -  -- - - - - -- ---- - ---------- - --- -----"-- --- - ---                  . As I informed you in my last communication,Itake comfort in the fact that the complaint data   bases of agencies charged to monitor businesses such as SunTrust will continue to carry this   information to alert the public of such actions and identify trends and problems in the marketplace   that set forth the challenges people are facing at the hands of these less than reputable   companies.  Cordially,  Forrestine White Williams  FWW/wsee case 3416892, where we informed client that we will no longer respond.4/26/17 No acknowledgement - Final response given to client on case 3416892. - HMD  4/28/2017--approved closing case with no response to client. see case 3416892, where we informed client that we will no longer respond.--wrh57
04/25/2017-3463260Lack of Follow Up or Status Updates || Borrower has burden of proving prop address changed due to 911 change. When we received the loan he said the 911 change was already effective and this has now impacted the ability to set up haz insurance record on the loan due to property address discrepancy  causing a delay in insurance processing    Provided Status and/or Next Steps || I apologized for inconvenience    Provided steps to upload to mtg website 911 address change verification   We had Assurant on the line and they are aware that the proof of the address is coming over to be updated\NCE opt in not required57
04/25/2017-3463470Kim Lounder, Homestar Finance, escalated, because she was attempting to have an update on a Credit Verification Request they sent on 04/13/2017. It was signed for by "Hogan." Unfortunately, they had not received a reply, as of yet.I called the HelpLine and spoke to a teammate to obtain an update. They didn't have record of the request being processed, so the teammate has reached out to the processors on our behalf. Once they receive a reply, it will be forwarded to me. Once I receive the information, I will call Kim Lounder back at (706) 224-1065 with the update.    04/20/2017 - utkr39 - 2:35PM CST  Received reply as to who signed for the package. As for what went with the request, they asked for a Tracking Number to better research. I called Ms. Lounder at (706) 224-1065, and she provided the requested information:  1Z22F08W1302703091  Signed for Thursday, 04/13/2017 @ 10:11AM CST    04/21/2017 - utkr39 - 10:45AM CST  Yet to receive a response from Help Line. I sent them another e-mail this morning (attached) asking if there were any updates. I'm currently working on a way to, in case we don't locate the Verification Request, process the request without another one being sent and costs being waived. I should hear back something today, but I will definitely have information by Monday, and I will continue to follow-up and communicate what I have and am able to do. Called Kim at (706) 224-1065. No answer, left voicemail.    04/21/2017 - utkr39 - 10:50AM CST  Ms. Lounder called back. I let her know, and I'm hopeful I will have more information by today. If not, we will follow-up Monday and see what can be done.    04/24/2017 - utkr39 - 10:40AM CST  Received reply from HelpLine regarding request. It was returned on 04/13/2017, because the request had an electronic signature, and we require a physical signature. I call Ms. Lounder at (706) 224-1065. No answer, left voicemail.    04/25/2017 - utkr39 - 1:25PM CST  Called Ms. Lounder at (706) 224-1065. No answer, left voicemail. Ceasing to monitor.  ***Prior comments from originating case***:  **********************************************************  No folder in R drive4/27/17 No ack required, resolved @ POC.57
04/25/2017-3463475Lack of Follow Up or Status Updates || Client was told that card would be sent with new account he had recently opened.  No card was ever set up.  He was also under the impression that the card would arrive in the welcome packet.Performed Other Servicing / Maintenance || Set up new card for client for his account.\N8
04/25/2017-3463505Other || client was not going to pay annual fee to have account.Clarified Policy, Process, Product, Service || I explained to the client on the new equilty line that we have available.  she has the ac3 which we no longer offer and would have to do a new app.  client did not want to go threw closing and have to do all again.\N57
04/25/2017-3463564Other || client is in MN and needs to change signers on business account.  I have exhausted all avenues to get help for this client as none of the clients will be able to be present.  I have used the Helpline and was told that they have to be present.  account #0007021555813Unresolved - Complaint Escalation Needed || I was not able to find any one to help me with clients that are in MN and need to change the signers on a business account. I need someone to call the client that can assist with him getting new signers on his business.  Client is not angry we just need to assist and I cannot make that decision without the client in front of me    ********    No Folder    (HB) WHL RESOLUTION 4/27/17 - Advised client (non-signer) that he will have to go into the branch to update signature per previous signers are retired & no longer affiliated w/ the business. Client inquired on closing the account, suggested coordinating w/ the branch teammate (submitter) who is familiar w/ him & the situation. The contact center will not speak w/ per he is a non-signer. Closed case4/27/17 - Advised client (non-signer) that he will have to go into the branch to update signature per previous signers are retired & no longer affiliated w/ the business. Client inquired on closing the account, suggested coordinating w/ the branch teammate (submitter) who is familiar w/ him & the situation. The contact center will not speak w/ per he is a non-signer.57
04/25/2017-3463575The client is calling about a late payment reporting against he credit.  He has had his loan for 12 years and is stating his payment was sent from bill pay and he is not supposed to send in escrow and only responsible for p&i.  He said he is going to contact an attorney.\N\N8
04/25/2017-3463697. I AM SPEAKING WITH MARC BOLDUC AND BILL SUMMERS THIRD      PARTY. CLIENT SAYS THAT HE NEEDS A LETTER STATING     THE CORRECTION WE MADE. HE SAYS THE LETTER HE         RECEIVED SAYS IT WAS A CORRECTION BECAUSE DOES        NOT STATE WHAT WAS CORRECTED. CLIENT SAYS THAT        HE TRYING TO PURCHASE ANOTHER LOAN AND THIS COULD  KILL THE DEAL.\N\N8
04/25/2017-3463754Fees, F/C, or other Monetary Impacts (Non-Bank Error) || Client was not informed for paper Statement fee I explain based on her acct type the way to avoid this fee was to enroll in online statementsPerformed Other Servicing / Maintenance || Change the acct statement option to online Banking and waived the $3 fee for her\N57
04/25/2017-3463810client was escalated because he is wanting paper work confirming after he has just opened up new cd's that the surviving owner is able to come in and redeem the cds without penalty. he also wants paperwork that tells him how the penalty is reached , showing the break down on how the figure it out\N\N57
04/26/2017-3464801Cl is stating that he should have a line of credit that he signed up for when her refinanced his MTGCl did not have any information for the line of credit adv that we do not have any information on a line of credit.  Cl wanted rates on a line of credit  connected to sales.  ***Prior comments from originating case***:  **********************************************************  No folder in R drive5/1/17 No ack required, resolved @ POC.57
04/26/2017-3465205Documentation Challenges || Client received call from collection advising payment due for april 2017.  Client advised he had received any other correspondence from STM stating payment was due for April and online account was showing account was due for May 2017\N\N57
04/26/2017-3465398Other || Client Called In | Client is kinda Upset with her Accmt | Client is Not Aware of a Loan under her Accnt | Client is Upset about Funds being Held on her Accnt | Client Mentioned High Risk Terms like Unfair In Treating CostumersOther || Client Called In | Client is kinda Upset with her Accmt | Client is Not Aware of a Loan under her Accnt | Client is Upset about Funds being Held on her Accnt | Client Mentioned High Risk Terms like Unfair In Treating Costumers  ****************************************  -No Folder-04/27/2017 reopened for resolution.  cda    4.27.17 - Reviewed call, the client had charged-off  Car Loan (Harry & Emma Andrews). A ROO was done for $1,035.00 on 4.25.17 to cover a portion of that charge off. The teammate explained this too the client, The client DID NOT mention unfair or contacting legal, etc.8
04/26/2017-3465496Other || ch opened secured card but branch teammate mentioned it will be graduated after a yearUnresolved - Complaint Escalation Needed || wants the card to be looked at to graduate to unsecured  ***********************************************************  No Folder on R Drive    Advised client secured cards are reviewed after 18 months, done on rolling basis, no guarantee card will graduate to unsecured status. client disconnected call.4/26/17 - 16:55 EST - ACNK call completed - called 863-662-4672  spoke with the client. -documented branch where client was advised of timeline for credit card status change. Advised client minimum of 18 months, done on rolling basis, no guarantee, client disconnected call.    4/26-17 - reviewed call - client also upset that when he calls his local branch office, that the phone never is answered by a Branch teammate. Client is upset his Secured Card which was opened in March 2016 has not graduate to a unsecured account. This issue should have been resolved at point of contact. Teammate stated he will have a supervisor follow up with the client. Teammate promised client a callback either today or tomorrow and routed case to CCAMO instead of CFS.    4/26/17 - opened task to CE override -57
04/26/2017-3465925Challenging Resolution Process;Default / Negative Impacts || non client and client wanted to open new select checking account, went to branch, non client(husband) has freeze on credit so branch unable to open acct requested, was told to call us; non client and client on phone, tried to open but non client, even though passed kba we were not able to open new account over phone and client stated " makes no sense to have to pay to have account with Suntrust which essentially is what this is and I am absolutely confused by this process, I have another option, with another bank but this makes no sense at all"Clarified Policy, Process, Product, Service;Provided Status and/or Next Steps || clarified with non client no option, even though verification questions answered successfully , to open up account as joint account with wife due to inability to override the Equifax inquiry decline\N57
04/26/2017-3466107Teammate Interaction Challenges || teammate accidently filed a application two times for the same type of card. It was not suppose to happen like that. Now the chd credit report is going to be messed up.Communicated Decisions / Option(s) || chd and I talked about the application, said id put in a complaint.,, card was closed down, we left the others alone.\N8
04/26/2017-3466182. THE TEAMMATE STATED TERMS MISLED AND UNFA      IR. THE CLIENT STATED HE DID THE FOREBEARANCE PLAN      WE MADE HIM AWARE OF, STATED   HE WAS TOLD THAT THE FORBEARANCE WAS FROM JAN THRU     APRIL, THAT IT MAKES HIM ANGRY THAT WE HAVE REPORT     ED HIM 90DAYS PAST DUE TO THE CREDIT BUREAU. HE        WANTS  US TO SEND THE BUREAUS A LETTER STATING THA     T IT WAS A MISTAKE, AND REMOVE THE REPORTING.\Nsent an email to R Jones the manager of the negotiators team for assist57
04/26/2017-3466316Default / Negative Impacts || suntrust reported me as late on my mortgage so I couldn't refinance with bank of America. now I got a late fee for not paying on my credit card, when I didn't get a statement. called 1800 and they said I enrolled myself in paperless online by accident. it shouldn't be this easy to do that.\N\N57
04/27/2017-3466648clients account not linked to card , can not use\N\N57
04/27/2017-3467562Other || The client had to call in twice to receive a sig cardOther || I helped the client and filled out this form\N57
04/27/2017-3467782THE CLIENT STATED HE WAS GOING TO GET A NEW     CAR, DECIDED TO PULL HIS CREDIT AND SAW THAT HIS       CREDIT SCORE HAD DROPPED OVER 60 POINTS, THEN STAT     ED WE HAD MISAPPLIED HIS FEBRUARY PAYMENT HAVING       APPLIED IT TO ANOTHER LOAN AND IT TOOK US A MONTH      TO FIX IT. STATED IT'S ON BOTH HIS AND MRS. WADE       CREDIT REPORT FOR ALL 3 MAJOR CREDIT BUREAUS AND       HE NEEDS IT CORRECTED AS SOON AS POSSIBLE.\Nsent credit dispute, CD# 346772357
04/27/2017-3468436CC Servicing: Dissatisfaction with Credit Card & Unresolved problem & Dissatisfaction with problem handling & Trying to get the credit limit. Our company last year our volume was nine million dollars worth of work and working off a $27,000 credit card, we're not a deadbeat company, but sometimes I feel like SunTrust thinks everybody is a deadbeat company, so that's my saga going on with them right now.\N\N57
04/27/2017-3468598client unaware about opening the new account due to fraud on the old account. client aid he was not aware of the openings\N\N8
04/27/2017-3468722Branch/Department Interaction Challenges || Client says he was not aware he was co-signing on a credit application for his son when he and his son visited branch. client says he did not intend to have his credit ran.Clarified Policy, Process, Product, Service || Informed client that I did witness him recommend adding him to his son's credit application if it would help his son get approved. The banker also went over disclaimers of application with client. I informed client of application process and how we must verify that we do indeed communicate disclosures.\N57
04/27/2017-3468733account set up incorrectly on the account  client was charge check fees and mmf.   the accounts are listed as trustee accounts and are not linked together\N\N8
04/27/2017-3468754Default / Negative Impacts;Other || ch received an ATM card with the wrong name printed and which she did not requested, she felt frustrated with the IVR due to unable to access the account and instead of being transferred to a live representative she was connected to another IVRClarified Policy, Process, Product, Service;Provided Status and/or Next Steps;Other || apologized for the inconvenience, explained details regarding the card and provided options for the card\N8
04/28/2017-3470142The ch wanted to know why he hasn't qualified for his secured card was upgraded to an unsecured card.\N\N57
04/28/2017-3470331Teammate Interaction Challenges || Asked them when she set up account to link to olb for statements, and to take confidential status off account.Clarified Policy, Process, Product, Service || We changed for her to get online statements, and refunded her fee as a bank error. Told her she could step into the bank  or  go to olb and get confidential status removed.\N57
04/28/2017-3470437Other || Client recently had fraud occur on account two separate times, for approximately 900 each time. client visited the branch and with banker interaction was advised that account needed to be closed and new account re-opened. Client currently has a delta sky miles card. He was advised that the delta sky miles are no longer eligible with the account that the client has. (he is currently an everyday checking client) card can only be linked to Signature advantage per Bank ops support. Client stated that it was unfair and was going to file a complaint because it was unfair that he could no linger keep the card features that he previously had with the skymiles card.Clarified Policy, Process, Product, Service || Client was advised that the Delta Skymiles card was no longer eligible for the product he currently has. Advised the Signature Adv. account is the only eligible account for the Delta Skymiles card and we attempted to discuss how the client might qualify for the Signature advantage account.\N57
04/28/2017-3470476Documentation Challenges || Account opened 4/14/2017 for Tracy and her daughter who is attending Auburn University in Alabama. Tracy ' came in two days later to add her husband. Husband was added on original signature card. Branch received policy violation. We had to call the client back and asked that all 3 account holder be present to correct the signature card. Husband travels and daughter is out of state and she feels that we are making it very difficult to bank with SunTrust. She is a long term client.Unresolved - Complaint Escalation Needed || We are making it to difficult to bank at suntrust  **************************************************************************  042817 No folder created on the R drive042817 called BM , she put in complaint for recording and feedback from client that she felt it is hard to do business with ST57
04/28/2017-3470477Default / Negative Impacts || Tin on file in incorrectProvided Status and/or Next Steps || Referred to branch to have information updated.\N57
04/28/2017-3470534Branch/Department Interaction Challenges || Client asked to correct the discrepancy on the check that she issued but it was not processed correctly.Performed Other Servicing / Maintenance || Submitted a research request\N8
04/28/2017-3470747cl called in requesting to speak to Seth Mills. states that he has left 5 voicemails and has not received a call back. cl states that he was expecting to receive a follow up by the end of the month and concerned that today is the last day for him to hear from tm.\N\N57
04/28/2017-3470821Challenging Resolution Process || client is frustrated with the increase in credit limit of his card without his permission. This has already happened once and client requested at that time to note the account not to ever raise the amount.Performed Other Servicing / Maintenance || I have apologized and raised a request for credit limit decrease to $1000.00 Also, I have informed client that I have filed a complaint.\N57
04/28/2017-3470841CL asking for late payment credit reporting to be removed, hurting her ability to purchase a home\N\N57
04/28/2017-3470845Teammate advise that client is upset as he recently received a credit alert from Experian which states that STM has flagged his account as CO // Loan mod not under Federal Gov't Plan // Derogatory information.....client is upset and wants to know why STM reported this information, also wants to speak with someone who can explain this information him and wants this corrected immediately....client is not happy with the time frame for the dispute resolution.....states he's disappointed......\NExplain to client our credit disputes takes 30 days however I will expedite the process which should be completed in 5/7 bus days......credit dispute # 04/28/2017-347076257
04/28/2017-3470961Branch/Department Interaction Challenges || client stated a branch teammate would not open an account for her. when walking by the branch a separate day she stated she talked to a different branch rep that would give her a call and resolve her issues but client stated she was never contacted.Submitted Research / Task Form Request ||\N57
04/28/2017-3471151Other || client was upset with the fact she couldn't open a joint account in the name of her husband and her with him not being here.Performed Other Servicing / Maintenance;Other || advised client I would get the manager for her to explain the situation, instead she said she would just close her accounts and take them to another bank.\N57
04/28/2017-3471182Client is upset due to the fact the account was never set up as a savings account, as she was advised, and has since incurred a $7 maintenance fee.I advised the client that we would not be able to convert the checking account to a savings, at which time she advised me she will be closing her account because of her dissatisfaction with the bank. I also educated her on ways to avoid the monthly maintenance fee, and the account is already pending closure.  ***Prior comments from originating case***:  **********************************************************  no r driveNo Ack required. Resolved @ POC. QC57
04/28/2017-3471254Client and son called to have her deceased husband IRA transferred to her name and not in the foot print of ST and distraught about having an 80yr old woman to travel to come back to branch with death certificate and to transfer the IRA to herCFSR VALIDATION RESULTS = VALID   4/28/17 utdv7 Reviewed call from 04/24/17 at 1:57pm cst TM Peaches Faith Pila Incorrect actions taken, callers were not verified. TM referred client to branch to have the IRA changed. TM incorrectly advised that the clients were fully verified, when they were not authenticated. The son also named Herbert Anderson was on the line initially, and then put on speaker so Ms. Anderson could be part of the conversation. Client Herbert Anderson could not have been verified due to being deceased.     Res: Rep (Peaches faith Pila)  transferred call to me stating both husband and wife were fully verified and only the wife was fully verified because the son was on the line and he was not the deceased husband and not on the acct to be verified nor was wife listed as beneficiary on the deceased husband IRA. I contacted home branch to see what info needed for cl to send and Linda offered to call cl back and when I went back on the line they advised me that they had already spoken to the branch about it and I advised we cannot override the decision and it is the banks policy. No call back needed by Linda and cl wanted to state that we need to change this policy because this is not customer service to have cl like his mother to come to a branch, I did not provide any info on deceased husband IR to either parties  ***Prior comments from originating case***:  **********************************************************  NO R DRIVENo Ack required. Resolved @ POC. QC57
